acid,SCN14,SCN14code,
PI506539,5,5,8
PI506540,5,5,8
PI506541,5,5,8
PI506542,5,5,8
PI506543,5,5,8
PI506544,5,5,8
PI506545,5,5,8
PI506546,5,5,8
PI506547,5,5,8
PI506548,5,5,8
PI506549,5,5,8
PI506551,5,5,8
PI506553,5,5,8
PI506554,5,5,8
PI506555,5,5,8
PI506556,5,5,8
PI506557,5,5,8
PI506558,5,5,8
PI506559,5,5,8
PI506560,5,5,8
PI506561,5,5,8
PI506562,5,5,8
PI506563,5,5,8
PI506564,5,5,8
PI506565,5,5,8
PI506566,5,5,8
PI506567,5,5,8
PI506568,5,5,8
PI506569,5,5,8
PI506570,5,5,8
PI506571,5,5,8
PI506572,5,5,8
PI506573,5,5,8
PI506574,5,5,8
PI506576,5,5,8
PI506577,5,5,8
PI506578,5,5,8
PI506579,5,5,8
PI506580,5,5,8
PI506582,5,5,8
PI506584,5,5,8
PI506586,5,4.5,8
PI506587,5,4.9,8
PI506588,5,4.7,8
PI506589,5,5,8
PI506592,5,5,8
PI506593,5,5,8
PI506594,5,5,8
PI506596,5,5,8
PI506597,5,4.7,8
PI506598,5,5,8
PI506599,5,4.6,8
PI506600,5,4.8,8
PI506601,5,4.5,8
PI506602,5,4.8,8
PI506603,5,5,8
PI506604,5,5,8
PI506605,5,4.8,8
PI506607,5,4.8,8
PI506608,5,4.8,8
PI506609,5,5,8
PI506610,5,5,8
PI506611,5,4.7,8
PI506612,5,5,8
PI506613,5,5,8
PI506614,5,5,8
PI506615,5,4,8
PI506617,5,5,8
PI506618,5,5,8
PI506619,5,4.9,8
PI506620,5,4.7,8
PI506621,5,5,8
PI506622,5,5,8
PI506623,5,5,8
PI506624,5,5,8
PI506625,5,5,8
PI506626,5,5,8
PI506627,5,5,8
PI506628,5,5,8
PI506629,5,5,8
PI506630,5,4.7,8
PI506631,5,5,8
PI506632,5,5,8
PI506633,5,5,8
PI506634,5,5,8
PI506635,5,5,8
PI506636,5,5,8
PI506637,5,5,8
PI506638,5,5,8
PI506639,5,5,8
PI506640,5,5,8
PI506641,5,5,8
PI506642,5,5,8
PI506643,5,5,8
PI506644,5,5,8
PI506645,5,5,8
PI506646,5,5,8
PI506647,5,5,8
PI506648,5,5,8
PI506649,5,5,8
PI506650,5,5,8
PI506651,5,5,8
PI506652,5,5,8
PI506653,5,5,8
PI506654,5,5,8
PI506655,5,5,8
PI506656,5,5,8
PI506657,5,5,8
PI506658,5,5,8
PI506660,5,5,8
PI506661,5,5,8
PI506663,5,5,8
PI506664,5,5,8
PI506665,5,5,8
PI506666,5,5,8
PI506667,5,5,8
PI506668,5,5,8
PI506669,5,5,8
PI506670,5,5,8
PI506671,5,5,8
PI506673,5,5,8
PI506674,5,5,8
PI506675,5,5,8
PI506676,5,5,8
PI506677,5,5,8
PI506678,5,4.8,8
PI506679,5,5,8
PI506680,5,4.7,8
PI506681,5,5,8
PI506682,5,5,8
PI506685,5,5,8
PI506686,5,5,8
PI506687,5,5,8
PI506688,5,5,8
PI506689,5,5,8
PI506690,5,5,8
PI506691,5,5,8
PI506692,5,5,8
PI506693,5,5,8
PI506694,5,5,8
PI506696,5,5,8
PI506697,5,5,8
PI506698,5,5,8
PI506699,5,5,8
PI506700,5,5,8
PI506701,5,5,8
PI506702,5,5,8
PI506703,5,5,8
PI506704,5,5,8
PI506705,5,5,8
PI506706,5,4.9,8
PI506707,5,5,8
PI506708,5,5,8
PI506709,5,5,8
PI506710,5,5,8
PI506712,5,5,8
PI506713,5,5,8
PI506714,5,5,8
PI506715,5,4.6,8
PI506716,5,5,8
PI506717,5,5,8
PI506718,5,5,8
PI506719,5,4.7,8
PI506720,5,5,8
PI506721,5,5,8
PI506722,5,5,8
PI506723,5,5,8
PI506724,5,4.5,8
PI506725,5,5,8
PI506726,5,5,8
PI506727,5,5,8
PI506728,5,5,8
PI506729,5,4.8,8
PI506731,5,5,8
PI506732,5,5,8
PI506734,5,5,8
PI506736,5,4,8
PI506737,5,5,8
PI506738,5,5,8
PI506739,5,5,8
PI506740,5,5,8
PI506741,5,5,8
PI506742,5,5,8
PI506743,5,5,8
PI506744,5,5,8
PI506745,5,5,8
PI506746,5,5,8
PI506747,5,5,8
PI506748,5,5,8
PI506749,5,5,8
PI506750,5,5,8
PI506751,5,4,8
PI506752,5,5,8
PI506753,5,5,8
PI506754,5,4.4,8
PI506755,5,4.8,8
PI506756,5,5,8
PI506757,5,5,8
PI506758,5,5,8
PI506759,5,5,8
PI506760,5,5,8
PI506761,5,5,8
PI506763,5,5,8
PI506764,5,5,8
PI506765,5,5,8
PI506766,5,5,8
PI506767,5,5,8
PI506768,5,4.8,8
