acid,RUST,
PI437653,3.7,8
PI437658,3,8
PI437659,3.7,8
PI437662,3,8
PI437663,1.5,8
PI437666,3,8
PI437667,2.7,8
PI437677,3.7,8
PI437684,2.5,8
PI437686,4,8
PI437689,3.5,8
PI437694,3.3,8
PI437697,4.3,8
PI437698,3.3,8
PI437701,4.3,8
PI437723,3,8
PI437724,4.3,8
PI437729,4.3,8
PI437730,3,8
PI437731,3,8
PI437737,4,8
PI437748,3.7,8
PI437750,4,8
PI437755,3.7,8
PI437758,3.7,8
PI437760,3.3,8
PI437775,4,8
PI437777,4,8
PI437778,3.5,8
PI437782,3.7,8
PI437784,3.3,8
PI437795,3.3,8
PI437819,3.7,8
PI437842,4.3,8
PI437850,3.7,8
PI437868,3,8
PI437869,3.3,8
PI437874,2.7,8
PI437881,3,8
PI437885,3.3,8
PI437921,2,8
PI437943,2.7,8
PI437944,3,8
PI437952,3,8
PI437969,4,8
PI437976,3.3,8
PI437978,3.3,8
PI437979,4.7,8
PI437980,3.7,8
PI437982,2.3,8
PI438001,3.7,8
PI438002,3.3,8
PI438041,4,8
PI438042,4,8
PI438044,4.3,8
PI438045,3.7,8
PI438054,3.7,8
PI438062,3.7,8
PI438066,4,8
PI438070,4,8
PI438073,2.3,8
PI438076,4,8
PI438077,3.7,8
PI438172,3,8
PI438182,4,8
PI438188,4,8
PI438189,3.3,8
PI438195,3.7,8
PI438197,3.7,8
PI438200,3.7,8
PI438206,3.7,8
PI438208,4,8
PI438218,3,8
PI438235,3.7,8
PI438251,3.7,8
PI438270,3.3,8
PI438276,3.7,8
PI438292,3.3,8
PI438303,3.5,8
PI438306,3.3,8
PI438317,3.3,8
PI438322,3.5,8
PI438323,4,8
PI438337,3.3,8
PI438341,3,8
PI438343,3,8
PI438351,4,8
PI438364,3,8
PI438367,3.3,8
PI438371,2.5,8
PI438398,2.7,8
PI438413,3,8
PI438417,3,8
PI438426,2.7,8
PI438432,5,8
PI438433,3.7,8
PI438444,2,8
PI438450,4,8
PI438460,3,8
PI438461,3.7,8
PI438465,3.7,8
PI438470,3.7,8
PI438473,2.7,8
PI438477,4,8
PI438480,2.5,8
PI438482,1,8
PI438495,2.7,8
PI438505,3.5,8
PI438506,3.3,8
PI438508,3.3,8
PI442006,3,8
PI442011,3,8
PI442013,3,8
PI442023,2.7,8
PI442027,3.5,8
PI442037,4,8
PI442042,4,8
PI445815,3,8
PI445826,3,8
PI445831,4,8
PI445832,3.3,8
PI445836,3.7,8
PI445845,4.3,8
PI449457,4.3,8
PI458018,3.3,8
PI458073,3,8
PI458088,3.3,8
PI458096,3,8
PI458108,4,8
PI458114,3,8
PI458132,3.5,8
PI458136,3,8
PI458146,3,8
PI458148,3.3,8
PI458160,3.7,8
PI458192,3,8
PI458208,3,8
PI458218,3.3,8
PI458223,3,8
PI458256,3,8
PI458266,2.7,8
PI458273,2.7,8
PI458276,3.7,8
PI458289,3,8
PI458301,4,8
PI458529,2.5,8
PI462312,4,8
PI464883,4,8
PI464887,3.3,8
PI464897,3,8
PI464912,4,8
PI467321,3,8
PI467328,3.3,8
PI467329,3,8
PI468376,3.5,8
PI468377,4,8
PI468381,4,8
PI468965,3,8
PI468966,3.5,8
PI468967,3.5,8
PI468969,3.3,8
PI468972,2,8
PI470224,3,8
PI470930,5,8
PI471899,3,8
PI471901,3.2,8
PI471926,3.3,8
PI471931,3,8
PI471933,4.5,8
PI471934,3.5,8
PI471935,4,8
PI475814,3.7,8
PI475821,3.3,8
PI475826,3.3,8
PI476351,3.3,8
PI476880,3.5,8
PI476882,4,8
PI476887,3.4,8
PI476888,2.7,8
PI476889,3,8
PI476890,3,8
PI476891,3.5,8
PI476892,3.1,8
PI476895,3.3,8
PI476900,3.3,8
PI476904,3.1,8
PI476911,2.7,8
PI476914,3.7,8
PI476922,4,8
PI476927,3.2,8
PI476928,3,8
PI476930,2.7,8
PI476933,2.7,8
PI476936,3.6,8
PI476938,3.3,8
PI476939,3,8
PI476942,2.7,8
PI479712,3,8
PI479726,3,8
PI479735,2.3,8
PI479736,3,8
PI479737,4,8
PI479740,3,8
PI479742,3.7,8
PI479743,3,8
PI481686,3,8
PI481690,3,8
PI483251,3.5,8
PI483459,2.7,8
PI486328,3,8
PI486329,3.5,8
PI486330,3.3,8
PI486335,2.5,8
PI490768,3.3,8
PI494526,4,8
PI494851,3,8
PI495019,3.5,8
PI495020,3.5,8
PI497957,3,8
PI497960,2.8,8
PI497961,2.8,8
PI497962,3,8
PI497965,2.5,8
PI497966,3.5,8
PI497967,3,8
PI497969,2.7,8
PI499955,3.5,8
PI499957,3.7,8
PI500648,4,8
PI503334,2.5,8
PI504484,4,8
PI504486,3.7,8
PI504487,4,8
PI504493,3.3,8
PI504494,3.7,8
PI504498,3.3,8
PI504499,3,8
PI504501,3.3,8
PI504502,3.3,8
PI504503,3,8
PI504508,4,8
PI504510,3,8
PI506477,3.5,8
PI506482,3.7,8
PI506483,3,8
PI506484,3.4,8
PI506488,3,8
PI506489,3,8
PI506491,3,8
PI506493,3,8
PI506508,3,8
PI506511,3,8
PI506513,3,8
PI506514,3.5,8
PI506518,4,8
PI506523,3.5,8
PI506524,3.3,8
PI506525,3.7,8
PI506530,3,8
PI506532,4,8
PI506537,3,8
PI506548,3,8
PI506553,2.6,8
PI506557,3,8
PI506559,3,8
PI506564,3.2,8
PI506569,4.5,8
PI506570,3,8
PI506572,2.7,8
PI506573,3,8
PI506577,4,8
PI506578,2.5,8
PI506589,2,8
PI506594,4,8
PI506600,3,8
PI506604,3,8
PI506605,3.3,8
PI506609,3.3,8
PI506628,4,8
PI506635,3.3,8
PI506638,3.3,8
PI506649,3,8
PI506658,4,8
PI506663,3,8
PI506664,4.3,8
PI506675,3.5,8
PI506676,3,8
PI506677,3,8
PI506679,2.7,8
PI506688,3,8
PI506689,3.3,8
PI506695,3.5,8
PI506696,3.3,8
PI506698,4,8
PI506703,3.3,8
PI506717,2,8
PI506737,2,8
PI506747,3.7,8
PI506748,4,8
PI506760,2.3,8
PI506764,4.5,8
PI506785,3.5,8
PI506789,4,8
PI506793,3,8
PI506802,4,8
PI506803,3.3,8
PI506807,4,8
PI506808,3,8
PI506812,3.3,8
PI506824,3,8
PI506828,2.7,8
PI506836,3,8
PI506837,3.7,8
PI506841,4,8
PI506847,3.3,8
PI506849,4,8
PI506850,4,8
PI506853,3,8
PI506859,3,8
PI506863,2,8
PI506865,3,8
PI506869,4,8
PI506880,3,8
PI506894,4,8
PI506896,3.7,8
PI506902,4,8
PI506920,3.3,8
PI506923,3,8
PI506924,3.5,8
PI506925,3,8
PI506938,3,8
PI506939,2.7,8
PI506943,3.3,8
PI506947,3,8
PI506962,3,8
PI506965,3.7,8
PI506969,3.3,8
PI506988,3,8
PI506990,3.3,8
PI506996,3,8
PI507000,3,8
PI507002,3,8
PI507003,4,8
PI507005,3,8
PI507007,4,8
PI507009,2,8
PI507013,3.5,8
PI507021,2.3,8
PI507024,3.3,8
PI507032,4,8
PI507038,4,8
PI507040,3,8
PI507041,3,8
PI507061,4,8
PI507064,3,8
PI507069,3.5,8
PI507075,3.3,8
PI507079,3,8
PI507092,4,8
PI507098,3.5,8
PI507106,3,8
PI507113,2,8
PI507114,3,8
PI507142,2.5,8
PI507166,3.5,8
PI507193,3.3,8
PI507195,3,8
PI507232,3.3,8
PI507237,3,8
PI507238,3,8
PI507240,3,8
PI507247,3.5,8
PI507249,3.3,8
PI507254,3.2,8
PI507259,4,8
PI507263,3,8
PI507266,4,8
PI507273,3,8
PI507275,3,8
PI507276,3.5,8
PI507279,3,8
PI507282,2.7,8
PI507298,2.7,8
PI507305,2.4,8
PI507318,3,8
PI507325,3.3,8
PI507334,3,8
PI507337,3.2,8
PI507341,3.3,8
PI507354,2.7,8
