acid,bp488001,
PI398668,2,8
PI398670,2,8
PI398671,2,8
PI398673,2,8
PI398675,2,8
PI398676,2,8
PI398677,3,8
PI398678,2,8
PI398679,2,8
PI398683,3,8
PI398688,2,8
PI398689,2,8
PI398690,2,8
PI398692,2,8
PI398699,2,8
PI398703,2,8
PI398711,2,8
PI398713,2,8
PI398714,2,8
PI398715,2,8
PI398718,1,8
PI398719,1,8
PI398721,2,8
PI398722,2,8
PI398723,1,8
PI398724,2,8
PI398725,2,8
PI398729,3,8
PI398731,2,8
PI398732,2,8
PI398733,2,8
PI398734,2,8
PI398736,2,8
PI398740,2,8
PI398742,3,8
PI398745,3,8
PI398756,2,8
PI398760,2,8
PI398769,2,8
PI398770,1,8
PI398771,2,8
PI398777,1,8
PI398778,2,8
PI398779,2,8
PI398780,2,8
PI398781,2,8
PI398782,2,8
PI398783,2,8
PI398784,1,8
PI398785,3,8
PI398786,1,8
PI398787,1,8
PI398789,2,8
PI398792,2,8
PI398793,1,8
PI398794,1,8
PI398795,1,8
PI398796,2,8
PI398797,2,8
PI398798,1,8
PI398799,1,8
PI398800,2,8
PI398809,2,8
PI398810,2,8
PI398811,2,8
PI398812,2,8
PI398817,1,8
PI398818,1,8
PI398819,4,8
PI398824,2,8
PI398825,2,8
PI398826,2,8
PI398827,2,8
PI398828,2,8
PI398829,2,8
PI398833,2,8
PI398834,2,8
PI398835,4,8
PI398836,1,8
PI398837,1,8
PI398840,2,8
PI398844,1,8
PI398845,2,8
PI398846,2,8
PI398850,2,8
PI398851,2,8
PI398852,2,8
PI398853,2,8
PI398855,1,8
PI398860,2,8
PI398861,1,8
PI398862,1,8
PI398863,2,8
PI398865,1,8
PI398866,3,8
PI398869,4,8
PI398870,2,8
PI398874,2,8
PI398876,2,8
PI398882,4,8
PI398892,2,8
PI398893,2,8
PI398894,3,8
PI398895,2,8
PI398896,2,8
PI398897,3,8
PI398900,3,8
PI398907,3,8
PI398911,3,8
PI398917,2,8
PI398918,3,8
PI398925,1,8
PI398928,1,8
PI398932,2,8
PI398943,2,8
PI398945,2,8
PI398947,1,8
PI398948,2,8
PI398949,1,8
PI398950,3,8
PI398951,1,8
PI398952,2,8
PI398956,2,8
PI398958,3,8
PI398961,2,8
PI398962,3,8
PI398966,2,8
PI398967,2,8
PI398968,3,8
PI398969,3,8
PI398971,2,8
PI398972,3,8
PI398973,1,8
PI398974,2,8
PI398976,1,8
PI398977,2,8
PI398978,2,8
PI398979,2,8
PI398983,2,8
PI398984,1,8
PI398986,1,8
PI398991,2,8
PI398998,2,8
PI398999,2,8
PI399000,3,8
PI399002,1,8
PI399003,1,8
PI399007,4,8
PI399009,3,8
PI399012,3,8
PI399013,2,8
PI399014,2,8
PI399021,2,8
PI399024,1,8
PI399025,1,8
PI399026,3,8
PI399029,2,8
PI399032,3,8
PI399033,2,8
PI399037,3,8
PI399038,2,8
PI399040,2,8
PI399041,2,8
PI399042,2,8
PI399044,1,8
PI399045,1,8
PI399047,5,8
PI399048,4,8
PI399049,2,8
PI399050,2,8
PI399052,1,8
PI399053,1,8
PI399055,3,8
PI399056,2,8
