acid,Fe32perc,
PI507250,0.127,8
PI507251,0.097,8
PI507254,0.101,8
PI507257,0.107,8
PI507258,0.104,8
PI507259,0.093,8
PI507262,0.087,8
PI507264,0.138,8
PI507276,0.016,8
PI507278,0.086,8
PI507292,0.076,8
PI507298,0.122,8
PI507299,0.042,8
PI507300,0.035,8
PI507302,0.037,8
PI507310,0.037,8
PI507322,0.021,8
PI507326,0.124,8
PI507327,0.1,8
PI507335,0.096,8
PI507336,0.123,8
PI507337,0.021,8
PI507338,0.093,8
PI507340,0.081,8
PI507342,0.099,8
PI507343,0.118,8
PI507345,0.009,8
PI507346,0.061,8
PI507356,0.138,8
PI507357,0.016,8
PI507358,0.016,8
PI507359,0.038,8
PI507360,0.114,8
PI507371,0.101,8
PI507377,0.003,8
PI507380,0.106,8
PI507381,0.095,8
PI507394,0.103,8
PI507414,0.107,8
PI507421,0.025,8
PI507422,0.09,8
PI507423,0.117,8
PI507428,0.095,8
PI507444,0.016,8
PI507451,0.011,8
PI507452,0.089,8
PI507457,0.135,8
PI507459,0.092,8
PI507470,0.112,8
PI507476,0.096,8
PI507478,0.101,8
PI507479,0.089,8
PI507484,0.016,8
PI507488,0.088,8
PI507495,0.094,8
PI507496,0.082,8
PI507497,0.023,8
PI507499,0.022,8
PI507503,0.008,8
PI507504,0,8
PI507505,0.013,8
PI507506,0.01,8
PI507507,0.014,8
PI507508,0.101,8
PI507511,0.021,8
PI507512,0.024,8
PI507514,0.091,8
PI507533,0.046,8
PI507536,0.028,8
PI507538,0.024,8
PI507539,0.089,8
PI507546,0.021,8
PI507556,0.036,8
PI507557,0.076,8
PI507558,0.051,8
PI507562,0.024,8
PI507572,0.024,8
PI507577,0.024,8
PI507579,0.024,8
PI509077,0.018,8
PI509082,0.109,8
PI509084,0.039,8
PI509086,0.016,8
PI509090,0.101,8
PI509093,0.083,8
PI509094,0.018,8
PI509095,0.106,8
PI509100,0.028,8
PI509102,0.015,8
PI509104,0.047,8
PI509108,0.024,8
PI509113,0.123,8
PI518295,0.016,8
PI518296,0.111,8
PI518297,0.016,8
PI518721,0.102,8
PI518722,0.034,8
PI518726,0.108,8
PI518727,0.138,8
PI518756,0.046,8
PI520732,0.037,8
PI532461,0.106,8
PI548497,0.016,8
PI561383,0.023,8
PI567148,0.132,8
PI567180,0.019,8
PI567182,0.089,8
PI567183,0.091,8
PI567184,0.133,8
PI567185,0.136,8
PI567186,0.107,8
PI567188,0.019,8
PI567190,0.041,8
PI567191,0.106,8
PI567271,0.107,8
PI567295,0.083,8
PI567391,0.103,8
PI578309,0.125,8
PI578312,0.012,8
PI578314,0.102,8
PI578317,0.094,8
PI578326,0.109,8
PI578331,0.038,8
PI578333,0.104,8
PI578334,0.031,8
PI578459,0.122,8
PI578467,0.021,8
PI578472,0.115,8
PI578484,0.098,8
PI587552,0.102,8
PI587554,0.099,8
PI587562,0.083,8
PI587569,0.12,8
PI587571,0.018,8
PI587578,0.106,8
PI587581,0.091,8
PI587582,0.019,8
PI587584,0.13,8
PI587586,0.11,8
PI587590,0.015,8
PI587591,0.03,8
PI587593,0.114,8
PI587594,0.121,8
PI587602,0.029,8
PI587613,0.099,8
PI587614,0.104,8
PI587615,0.132,8
PI587617,0.12,8
PI587621,0.131,8
PI587623,0.106,8
PI587624,0.103,8
PI587626,0.133,8
PI587635,0.113,8
PI587638,0.106,8
PI587640,0.028,8
PI587644,0.036,8
PI587649,0.105,8
PI587653,0.025,8
PI587654,0.091,8
PI587655,0.136,8
PI587656,0.138,8
PI587657,0.077,8
PI587663,0.032,8
PI587665,0.088,8
PI587666,0.019,8
PI587669,0.151,8
PI587671,0.111,8
PI587672,0.128,8
PI587673,0.152,8
PI587675,0.148,8
PI587676,0.022,8
PI587677,0.03,8
PI587679,0.165,8
PI587680,0.204,8
PI587683,0.106,8
PI587685,0.095,8
PI587688,0.177,8
PI587689,0.034,8
PI587691,0.094,8
PI587693,0.029,8
PI587694,0.023,8
PI587695,0.117,8
PI587697,0.135,8
PI587699,0.035,8
PI587701,0.111,8
PI587702,0.119,8
PI587704,0.081,8
PI587706,0.114,8
PI587707,0.098,8
PI587708,0.136,8
PI587710,0.097,8
PI587711,0.146,8
